ZIP Code,City,State,County,Population,Business,Distance,ZIP Type
90620,BUENA PARK,CA,ORANGE,"46,992","1,135",15.55939675,
90621,BUENA PARK,CA,ORANGE,"35,735","1,235",16.60357651,
90622,BUENA PARK,CA,ORANGE,0,61,15.52466355,PO Box
90623,LA PALMA,CA,ORANGE,"15,369",398,16.98996816,
90624,BUENA PARK,CA,ORANGE,0,0,16.6491518,PO Box
90630,CYPRESS,CA,ORANGE,"49,565","1,564",15.57456171,
90631,LA HABRA,CA,ORANGE,"68,615","1,999",19.31750429,
90632,LA HABRA,CA,ORANGE,0,43,18.46643399,PO Box
90633,LA HABRA,CA,ORANGE,0,45,17.79263199,PO Box
90637,LA MIRADA,CA,LOS ANGELES,0,57,18.28343784,PO Box
90638,LA MIRADA,CA,LOS ANGELES,"45,714","1,212",18.98144437,
90639,LA MIRADA,CA,LOS ANGELES,"1,714",2,19.26263831,Company
90680,STANTON,CA,ORANGE,"31,949","1,194",12.75270796,
90701,ARTESIA,CA,LOS ANGELES,"16,044",794,19.42647825,
90702,ARTESIA,CA,LOS ANGELES,0,37,19.51626145,PO Box
90703,CERRITOS,CA,LOS ANGELES,"48,607","1,899",19.01662497,
90713,LAKEWOOD,CA,LOS ANGELES,"28,583",424,19.97812782,
90715,LAKEWOOD,CA,LOS ANGELES,"20,668",203,18.0812955,
90716,HAWAIIAN GARDENS,CA,LOS ANGELES,"13,743",352,17.4357041,
90720,LOS ALAMITOS,CA,ORANGE,"24,021","1,547",15.86684838,
90721,LOS ALAMITOS,CA,ORANGE,0,13,16.26792409,PO Box
90740,SEAL BEACH,CA,ORANGE,"24,382",830,15.5130886,
90742,SUNSET BEACH,CA,ORANGE,385,85,13.46240479,PO Box
90743,SURFSIDE,CA,ORANGE,478,11,14.52611347,PO Box
90803,LONG BEACH,CA,LOS ANGELES,"31,804","1,260",18.16060795,
90804,LONG BEACH,CA,LOS ANGELES,"38,306","1,367",19.55265697,
90808,LONG BEACH,CA,LOS ANGELES,"39,351",761,19.06759816,
90809,LONG BEACH,CA,LOS ANGELES,0,64,19.93975809,PO Box
90814,LONG BEACH,CA,LOS ANGELES,"20,676",333,19.20357589,
90815,LONG BEACH,CA,LOS ANGELES,"43,461",929,18.33263148,
90840,LONG BEACH,CA,LOS ANGELES,0,17,17.7186132,Company
90853,LONG BEACH,CA,LOS ANGELES,0,35,17.78237038,PO Box
92602,IRVINE,CA,ORANGE,"27,358",148,5.600740033,
92603,IRVINE,CA,ORANGE,"19,264",1,2.967576795,
92604,IRVINE,CA,ORANGE,"27,750","1,151",3.382669022,
92605,HUNTINGTON BEACH,CA,ORANGE,0,54,10.13619621,PO Box
92606,IRVINE,CA,ORANGE,"24,499",917,2.572550447,
92607,LAGUNA NIGUEL,CA,ORANGE,0,89,12.18187112,PO Box
92609,EL TORO,CA,ORANGE,0,76,8.655556757,PO Box
92610,FOOTHILL RANCH,CA,ORANGE,"13,182",319,10.36730832,
92612,IRVINE,CA,ORANGE,"33,706","2,726",0,
92614,IRVINE,CA,ORANGE,"29,617","2,697",1.122739154,
92615,HUNTINGTON BEACH,CA,ORANGE,0,81,7.319413526,PO Box
92616,IRVINE,CA,ORANGE,0,36,1.36707866,PO Box
92617,IRVINE,CA,ORANGE,"22,172",0,1.68028425,
92618,IRVINE,CA,ORANGE,"62,296","2,306",5.434784158,
92619,IRVINE,CA,ORANGE,0,94,4.378603555,PO Box
92620,IRVINE,CA,ORANGE,"61,744",377,5.558616823,
92623,IRVINE,CA,ORANGE,0,230,1.420132995,PO Box
92624,CAPISTRANO BEACH,CA,ORANGE,"6,685",411,17.34032379,
92625,CORONA DEL MAR,CA,ORANGE,"12,328",753,4.943981885,
92626,COSTA MESA,CA,ORANGE,"50,569","4,132",3.622505232,
92627,COSTA MESA,CA,ORANGE,"60,751","3,453",4.589646612,
92628,COSTA MESA,CA,ORANGE,0,183,4.586476217,PO Box
92629,DANA POINT,CA,ORANGE,"26,198","1,391",15.57566863,
92630,LAKE FOREST,CA,ORANGE,"66,461","2,810",9.017522886,
92637,LAGUNA WOODS,CA,ORANGE,"17,342",0,8.002889886,
92646,HUNTINGTON BEACH,CA,ORANGE,"55,814","1,151",7.339784744,
92647,HUNTINGTON BEACH,CA,ORANGE,"58,794","2,856",9.863216284,
92648,HUNTINGTON BEACH,CA,ORANGE,"45,521","2,052",9.03391565,
92649,HUNTINGTON BEACH,CA,ORANGE,"35,504","1,775",12.13832748,
92650,EAST IRVINE,CA,ORANGE,0,14,4.927027115,PO Box
92651,LAGUNA BEACH,CA,ORANGE,"23,477","1,966",10.01798381,
92652,LAGUNA BEACH,CA,ORANGE,0,149,9.243552103,PO Box
92653,LAGUNA HILLS,CA,ORANGE,"29,596","3,470",9.159926732,
92654,LAGUNA HILLS,CA,ORANGE,0,86,8.621481265,PO Box
92655,MIDWAY CITY,CA,ORANGE,"8,101",192,9.862534933,
92656,ALISO VIEJO,CA,ORANGE,"52,645","1,127",9.070131821,
92657,NEWPORT COAST,CA,ORANGE,"10,224",57,4.549312142,
92658,NEWPORT BEACH,CA,ORANGE,0,182,2.266446444,PO Box
92659,NEWPORT BEACH,CA,ORANGE,0,145,5.639554728,PO Box
92660,NEWPORT BEACH,CA,ORANGE,"34,788","5,349",2.704124862,
92661,NEWPORT BEACH,CA,ORANGE,"3,095",194,5.633548022,
92662,NEWPORT BEACH,CA,ORANGE,"2,285",199,5.072918688,
92663,NEWPORT BEACH,CA,ORANGE,"21,584","2,112",5.843138162,
92673,SAN CLEMENTE,CA,ORANGE,"29,828",877,19.20629647,
92675,SAN JUAN CAPISTRANO,CA,ORANGE,"34,998","1,689",15.59262632,
92676,SILVERADO,CA,ORANGE,"1,967",70,12.00450925,
92677,LAGUNA NIGUEL,CA,ORANGE,"64,023","2,329",12.34386287,
92678,TRABUCO CANYON,CA,ORANGE,668,43,14.5175674,PO Box
92679,TRABUCO CANYON,CA,ORANGE,"30,966",430,14.67445931,
92683,WESTMINSTER,CA,ORANGE,"90,140","3,648",10.54472447,
92684,WESTMINSTER,CA,ORANGE,0,69,11.50719535,PO Box
92685,WESTMINSTER,CA,ORANGE,0,18,10.50113466,PO Box
92688,RANCHO SANTA MARGARITA,CA,ORANGE,"43,937","1,081",13.86402883,
92690,MISSION VIEJO,CA,ORANGE,0,113,12.62386453,PO Box
92691,MISSION VIEJO,CA,ORANGE,"46,618","2,651",10.89036144,
92692,MISSION VIEJO,CA,ORANGE,"46,568","1,165",12.0298671,
92693,SAN JUAN CAPISTRANO,CA,ORANGE,0,93,15.49614065,PO Box
92694,LADERA RANCH,CA,ORANGE,"35,019",37,14.30214648,
92697,IRVINE,CA,ORANGE,0,56,1.411937605,Company
92698,ALISO VIEJO,CA,ORANGE,0,4,0.356502424,Company
92701,SANTA ANA,CA,ORANGE,"48,272","2,341",5.692701854,
