HouseNumber,Street,StreetSuffix,City,State,Zip,StreetName,Address,StateName,Zip4,AddressType,RBDI,Active,Fips,County,ResultCode,MAK
100,Beth,Cir,Anaheim,CA,92806,,100 S Beth Cir,California,3828.0,Street,Residential,Yes,6059,orange                   ,AS01,7526462304
100,Billie Jo,Cir,Anaheim,CA,92806,,100 S Billie Jo Cir,California,3101.0,Street,Residential,Yes,6059,orange                   ,AS01,9664013699
100,Carousel,St,Anaheim,CA,92806,,100 S Carousel St,California,3902.0,Street,Residential,Yes,6059,orange                   ,AS01,3240812007
100,Citrus Ranch,Rd,Anaheim,CA,92805,,100 N Citrus Ranch Rd,California,2267.0,Highrise,Residential,Yes,6059,orange                   ,"AE09,AS02,AS17",1172532559
100,Connie,Cir,Anaheim,CA,92806,,100 S Connie Cir,California,3832.0,Street,Residential,Yes,6059,orange                   ,AS01,3980916192
100,Glendon,St,Anaheim,CA,92806,,100 S Glendon St,California,3806.0,Street,Residential,Yes,6059,orange                   ,AS01,3384527626
100,Heartwood,Way,Anaheim,CA,92801,,100 S Heartwood Way,California,5151.0,Street,Residential,Yes,6059,orange                   ,AS01,3988205250
100,Hidden,Path,Anaheim,CA,92801,,100 S Hidden Path,California,5149.0,Street,Residential,Yes,6059,orange                   ,AS01,5168590146
100,Kingsley,St,Anaheim,CA,92806,,100 N Kingsley St,California,3809.0,Street,Residential,Yes,6059,orange                   ,AS01,6131882286
100,London,Ct,Anaheim,CA,92806,,100 S London Ct,California,3623.0,Street,Residential,Yes,6059,orange                   ,AS01,7860005663
100,MacArthur,Mnr,Anaheim,CA,92805,,100 W MacArthur Mnr,California,4610.0,Street,Residential,Yes,6059,orange                   ,AS01,6214938480
100,Melinda,Cir,Anaheim,CA,92806,,100 S Melinda Cir,California,3105.0,Street,Residential,Yes,6059,orange                   ,AS01,4612679888
100,Milton,St,Anaheim,CA,92806,,100 S Milton St,California,3109.0,Street,Residential,Yes,6059,orange                   ,AS01,3259140115
100,New,Ave,Anaheim,CA,92806,,100 S New Ave,California,3609.0,Street,Residential,Yes,6059,orange                   ,AS01,6458977200
100,Normandy,Ct,Anaheim,CA,92806,,100 S Normandy Ct,California,3625.0,Street,Residential,Yes,6059,orange                   ,AS01,8243274235
100,Olympia,Ct,Anaheim,CA,92806,,100 S Olympia Ct,California,3630.0,Street,Residential,Yes,6059,orange                   ,AS01,8454757140
100,Plantation,Pl,Anaheim,CA,92806,,100 S Plantation Pl,California,3231.0,Street,Residential,Yes,6059,orange                   ,AS01,7968254476
100,Queensbury,St,Anaheim,CA,92806,,100 S Queensbury St,California,3817.0,Street,Residential,Yes,6059,orange                   ,AS01,7700121540
100,Royal,Pl,Anaheim,CA,92806,,100 S Royal Pl,California,3238.0,Street,Residential,Yes,6059,orange                   ,AS01,4329185700
100,Seneca,Cir,Anaheim,CA,92805,,100 S Seneca Cir,California,3658.0,Street,Residential,Yes,6059,orange                   ,AS01,6992363537
100,Shakespeare,St,Anaheim,CA,92806,,100 S Shakespeare St,California,3117.0,Street,Residential,Yes,6059,orange                   ,AS01,9008334991
100,Tower,Ct,Anaheim,CA,92806,,100 S Tower Ct,California,3651.0,Street,Residential,Yes,6059,orange                   ,AS01,6670636330
100,Trevor,St,Anaheim,CA,92806,,100 S Trevor St,California,4027.0,Street,Residential,Yes,6059,orange                   ,AS01,1149497463
100,Valencia,Ave,Anaheim,CA,92805,,100 W Valencia Ave,California,4613.0,Street,Residential,Yes,6059,orange                   ,AS01,9627500434
100,Aspen,Ln,Costa Mesa,CA,92627,,100 Aspen Ln,California,1360.0,Street,Residential,Yes,6059,orange                   ,AS01,1453740049
100,Clearbrook,Ln,Costa Mesa,CA,92626,,100 Clearbrook Ln,California,6596.0,Highrise,Residential,Yes,6059,orange                   ,"AE09,AS02,AS17",2871270476
100,Eucalyptus,Ln,Costa Mesa,CA,92627,,100 Eucalyptus Ln,California,1358.0,Street,Residential,Yes,6059,orange                   ,AS01,1822349608
100,Pinon Tree,Ln,Costa Mesa,CA,92627,,100 Pinon Tree Ln,California,1359.0,Street,Residential,Yes,6059,orange                   ,AS01,6180788783
10,Brisbane,Ct,Tustin,CA,92782,,10 Brisbane Ct,California,3743.0,Street,Residential,Yes,6059,orange                   ,AS01,4598883203
10,Flyers,Ln,Tustin,CA,92782,,10 Flyers Ln,California,6508.0,Street,Residential,Yes,6059,orange                   ,AS01,6517905278
10,Lancea,Pl,Tustin,CA,92782,,10 Lancea Pl,California,3740.0,Street,Residential,Yes,6059,orange                   ,AS01,5450436871
10,Transport,,Tustin,CA,92782,,10 Transport,California,3759.0,Street,Residential,Yes,6059,orange                   ,AS01,3353551187
10,Windwalker,Way,Tustin,CA,92782,,10 Windwalker Way,California,3739.0,Street,Residential,Yes,6059,orange                   ,AS01,1173188595
10,French,Ct,Westminster,CA,92683,,10 French Ct,California,8042.0,Street,Residential,Yes,6059,orange                   ,AS01,6650632634
10,Sorbonne,St,Westminster,CA,92683,,10 Sorbonne St,California,8917.0,Street,Residential,Yes,6059,orange                   ,AS01,6708018905
1,Cantera,,Santa Ana,CA,92703,,1 Cantera,California,1200.0,Street,Residential,Yes,6059,orange                   ,AS01,8248030108
1,Carriage,Ln,Santa Ana,CA,92705,,1 Carriage Ln,California,2661.0,Street,Residential,Yes,6059,orange                   ,AS01,2408487573
1,Vienna,Dr,Santa Ana,CA,92703,,1 Vienna Dr,California,4161.0,Street,Residential,Yes,6059,orange                   ,AS01,1400703083
100,Ash,Ave,Fullerton,CA,92832,,100 E Ash Ave,California,, ,Residential,Yes,6059,orange                   ,AS03,9096330409
100,Ashford,Pl,Fullerton,CA,92831,,100 N Ashford Pl,California,4010.0,Street,Residential,Yes,6059,orange                   ,AS01,5614598019
100,Buena Vista,Dr,Fullerton,CA,92833,,100 Buena Vista Dr,California,2364.0,Highrise,Residential,Yes,6059,orange                   ,"AE09,AS02",9926825466
100,Harrington,Dr,Fullerton,CA,92831,,100 S Harrington Dr,California,4725.0,Street,Residential,Yes,6059,orange                   ,AS01,1360848058
100,Hart,Pl,Fullerton,CA,92831,,100 N Hart Pl,California,3915.0,Street,Residential,Yes,6059,orange                   ,AS01,1046078439
100,Janet,Pl,Fullerton,CA,92831,,100 N Janet Pl,California,3919.0,Street,Residential,Yes,6059,orange                   ,AS01,9608084026
100,Ladera Vista,Dr,Fullerton,CA,92831,,100 Ladera Vista Dr,California,4222.0,Street,Residential,Yes,6059,orange                   ,AS01,1422721991
100,Lincoln,Ave,Fullerton,CA,92831,,100 S Lincoln Ave,California,4563.0,Highrise,Residential,Yes,6059,orange                   ,"AE09,AS02,AS17",1326209299
100,Montague,Ave,Fullerton,CA,92831,,100 N Montague Ave,California,3921.0,Street,Residential,Yes,6059,orange                   ,AS01,6676967452
1000,Oak,Gln,Irvine,CA,92618,,1000 Oak Gln,California,4712.0,Street,Residential,Yes,6059,orange                   ,AS01,9071615712
1000,Solvay Aisle,,Irvine,CA,92606,,1000 Solvay Aisle,California,838.0,Street,Residential,Yes,6059,orange                   ,AS01,5623094101
100,Acamar,,Irvine,CA,92618,,100 Acamar,California,1054.0,Street,Residential,Yes,6059,orange                   ,AS01,3527270912
100,Agostino,,Irvine,CA,92614,,100 Agostino,California,8418.0,Street,Residential,Yes,6059,orange                   ,AS01,1913928987
100,Aims,,Irvine,CA,92618,,100 Aims,California,826.0,Street,Residential,Yes,6059,orange                   ,AS01,2990578942
100,Alicante Aisle,,Irvine,CA,92614,,100 Alicante Aisle,California,5932.0,Street,Residential,Yes,6059,orange                   ,AS01,5250588966
100,Allusion,,Irvine,CA,92618,,100 Allusion,California,1795.0,Street,Residential,Yes,6059,orange                   ,AS01,9001812824
100,Almador,,Irvine,CA,92614,,100 Almador,California,8405.0,Street,Residential,Yes,6059,orange                   ,"AS01,AS16",5914489862
100,Ambiance,,Irvine,CA,92603,,100 Ambiance,California,4225.0,Street,Residential,Yes,6059,orange                   ,AS01,4141115908
100,Annuals,,Irvine,CA,92618,,100 Annuals,California,877.0,Street,Residential,Yes,6059,orange                   ,AS01,1774596483
100,Anthem,,Irvine,CA,92618,,100 Anthem,California,1301.0,Street,Residential,Yes,6059,orange                   ,AS01,8575158284
100,Aquarius,,Irvine,CA,92618,,100 Aquarius,California,1338.0,Street,Residential,Yes,6059,orange                   ,AS01,9363302728
100,Aspect,,Irvine,CA,92618,,100 Aspect,California,1428.0,Street,Residential,Yes,6059,orange                   ,AS01,3668115596
